,약용식물분포설명,약용식물복용방법설명,약용식물효과설명,약용식물번호,약용식물전경이미지URL,약용식물약재명,약용식물종명,약용식물이용부위이미지URL,약용식물이용이미지URL,식물분류명,식물생태설명,식물과명,식물종학명,이용방법설명
0,"한국(전국), 중국, 일본",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 달여서 상처 부위를 닦아 낸다.,"말라리아, 사교상, 소아경풍, 옹종, 인후통, 종독, 청열, 해독, 해수, 해열",159,http://api.forest.go.kr/openapi/image/2015159/20151591.jpg,사함(蛇含),가락지나물,http://api.forest.go.kr/openapi/image/2015159/20151592.jpg,http://api.forest.go.kr/openapi/image/2015159/20151593.jpg,피자식물/쌍자엽식물,습기가 있는 곳에 자라는 다년초로 높이가 20∼60㎝이고 잎겨드랑이에서 가지가 뻗는다. 근생엽은 긴 잎자루 끝에 장상복엽이 달리고 소엽은 난형 또는 도피침형으로 둔두이며 예저이다. 꽃은 황색으로 피고 5∼7월 취산화서에 많이 달린다. 열매는 수과로 털이 없고 세로로 주름이 진다.,장미과(Rosaceae),Potentilla anemonefolia Lehm.,전초를 개화기에 채취하여 햇볕에 말린다.
1,"한국(전국), 중국, 일본, 러시아, 인도, 오스트레일리아",(내복): 탕전(湯煎)하여 복용한다.,"간염, 건위, 과실식체, 구충, 소종, 식강어체, 식예어체, 양궐사음, 음수체, 이수, 일체안병, 임질, 자궁출혈, 주독, 지방간, 지사, 지혈, 치질, 치핵, 해독, 해열, 황달",467,http://api.forest.go.kr/openapi/image/2015467/20154671.jpg,안자채(眼子菜),가래,http://api.forest.go.kr/openapi/image/2015467/20154672.jpg,http://api.forest.go.kr/openapi/image/2015467/20154673.jpg,피자식물 / 단자엽식물,"논이나 연못에 자라는 수생식물로서 근경이 옆으로 벋으며 번식한다. 물 위에 나온 잎은 피침형 또는 난상 타원형이고 수중엽은 피침형이며 양 끝이 좁고 가장자리가 톱니처럼 도드라진다. 꽃은 황색으로 7∼8월에 수상꽃차례로 잎겨드랑이에서 나와 많은 꽃이 이삭처럼 달린다. 열매는 핵과 모양으로 뒷면에 능선이 있다.
 ☞ 선 가래에 비해 부엽 엽병 끝이 피상으로 되지 않고 심피가 1∼4개이다.",가래과(Potamogetonaceae),Potamogeton distinctus A.Benn.,전초를 8∼9월에 채취하여 햇볕에 말린다.
2,"한국(속리산, 소백산 이북), 중국, 러시아",(내복): 탕전(湯煎)하여 복용한다.,"강장, 강장보호, 거습, 구충, 동상, 수감, 염발, 요독증, 요통, 위궤양, 일체안병, 자색반병, 자양, 자양강장, 장염, 조습, 진해, 척추질환, 폐기, 포태, 피부염, 하리",24,http://api.forest.go.kr/openapi/image/2015024/20150241.jpg,핵도추피(核桃楸皮),가래나무,http://api.forest.go.kr/openapi/image/2015024/20150242.jpg,http://api.forest.go.kr/openapi/image/2015024/20150243.jpg,피자식물/쌍자엽식물,"산기슭이나 골짜기에 자라는 낙엽교목으로 높이가 20m에 달하며 나무껍질은 세로로 갈라진다. 잎은 기수우상복엽이고 차조기는 7∼17개이며 예두 심장저이고 가장자리에 잔 톱니가 있으며 표면에 털이 있다. 꽃은 일가화로서 4월에 핀다. 열매는 핵과로 난상 원형이며 9월에 익는다.
 ☞ 호두나무보다 차조기는 7개 이상이고 톱니가 있으며 열매는 2실이다.",가래나무과(Juglandaceae),Juglans mandshurica Maxim.,나무껍질을 봄부터 가을에 채취하여 햇볕에 말린다.
3,"한국(중남부), 중국, 일본",(내복): 탕전(湯煎)하여 복용한다.,"감기, 부종, 이뇨, 정혈, 종기, 지혈, 청열해독, 편도선염, 호흡기감염증.",406,http://api.forest.go.kr/openapi/image/2015406/20154061.jpg,협미(莢迷),가막살나무,http://api.forest.go.kr/openapi/image/2015406/20154062.jpg,http://api.forest.go.kr/openapi/image/2015406/20154063.jpg,피자식물/쌍자엽식물,산중턱 이하의 숲에 자라는 낙엽관목으로 높이가 3m에 달하고 어린 가지에 성모와 선점이 있다. 잎은 대생하고 아원형 또는 난형이고 점첨두이며 원저 또는 아심장저이며 뒷면에 선점이 있다. 꽃은 백색으로 5월에 복상화서로 달린다. 열매는 핵과로 9월에 적색으로 익는다. ☞ 산가막살나무에 비해 전주에 털이 있고 화서에 성상모가 있다.,인동과(Caprifoliaceae),Viburnum dilatatum Thunb.,줄기와 잎를 채취하여 말린다.
4,"한국(남부), 중국, 일본, 대만",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙인다.,"발모, 임질, 치통",36,http://api.forest.go.kr/openapi/image/2015036/20150361.jpg,면자(麵子),가시나무,http://api.forest.go.kr/openapi/image/2015036/20150362.jpg,http://api.forest.go.kr/openapi/image/2015036/20150363.jpg,피자식물/쌍자엽식물,"산골짜기에 자라는 상록교목으로 높이가 15m에 달하고 나무껍질은 적갈색이고 세로로 깊게 갈라진다. 잎은 어긋나기 하며 피침형이고 점첨두 예저이며 가장자리에 예리한 잔 톱니가 있다. 꽃은 4∼5월에 피고 수꽃 차례는 묵은 가지 밑으로 처지며 암꽃 차례는 새 가지에서 곧추선다. 열매는 견과로 타원형이고 10월에 익는다.
 ☞ 참가시나무에 비해 가지가 흑자색이고 잎 뒷면은 엷은 녹색으로 거의 털이 없다.",참나무과(Fagaceae),Quercus myrsinaefolia Blume,"열매는 가을에, 잎은 수시로 채취하여 말린다."
5,"한국(중남부) 중국, 일본, 대만, 인도","(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
 ☞ 치질, 복부팽만감이 있는 사람, 산후에는 복용을 피한다.","강심익지, 강장, 강장보호, 강장제, 건비위, 견비통, 곽란, 관절통, 대하, 보비거습, 보정, 소변실금, 오십견, 완화, 요통, 위내정수, 유정, 익신고정, 자양강장, 정기, 정양, 주독, 지혈, 진통, 통풍, 폐기천식, 해수, 해열, 허약체질",83,http://api.forest.go.kr/openapi/image/2015083/20150831.jpg,"검인(芡仁), 검실(芡實)",가시연꽃,http://api.forest.go.kr/openapi/image/2015083/20150832.jpg,http://api.forest.go.kr/openapi/image/2015083/20150833.jpg,피자식물/쌍자엽식물,"늪이나 연못에 자라는 일년초로 가시가 있으며 수염뿌리가 많이 나온다. 종자가 발아해서 나오는 잎은 작으나 점차 큰 잎이 나오며 표면에 주름이 진다. 꽃은 7∼8월 가시가 돋는 긴 꽃자루가 자라서 끝에 1개 달린다. 열매는 액과로 둥글며 종자는 육질종의에 싸인다.
 ☞ 수련보다 1년초로서 전주에 가시가 있고 자방하위이다.",수련과(Nymphaeaceae),Euryale ferox Salisb.,종자 성숙기에 채취하여 종자만을 꺼내어 햇볕에 말린다.
6,"한국(중부이북), 중국, 일본, 러시아","(내복): 탕전(湯煎)하거나, 환제 또는 산제로, 혹은 술에 담가 복용한다.","각기, 강심, 강심익지, 강장, 고혈압, 관절염, 근골 위약, 근염, 보신 안 신, 요통, 익기건비, 정력증진, 조루증, 종기, 진통, 타박상, 풍, 풍비, 풍한습비, 활혈",296,http://api.forest.go.kr/openapi/image/2015296/20152961.jpg,오가피(五加皮),가시오갈피,http://api.forest.go.kr/openapi/image/2015296/20152962.jpg,http://api.forest.go.kr/openapi/image/2015296/20152963.jpg,피자식물/쌍자엽식물,"산골짜기에 자라는 낙엽관목으로 높이 2∼3m이고 전체에 가늘고 긴 가시가 밀생한다. 잎자루에 특히 가시가 많으며 잎은 장상복엽으로 타원상 도란형 또는 장타원형이고 짧은 점 첨 두 예저이며 가장자리에 뾰족한 겹 톱니가 있다. 꽃은 자황색으로 7월에 가지 끝에 1개씩 산형화서로 달린다. 열매는 핵과로 둥글며 털이 없다.
 ☞ 오갈피나무에 비해 소화경이 길고 가시는 침형이다.",두릅나무과(Araliaceae),Eleutherococcus senticosus (Rupr. & Maxim.) Maxim.,"뿌리 또는 수피를 여름, 가을에 채취하여 햇볕에 말린다."
7,"한국(중남부), 중국",(내복): 탕전(湯煎)하거나 환제 또는 산제로 복용한다.,"거습, 구충, 살충, 위궤양, 이질, 적백리, 조습, 지사, 지혈, 청열조습, 치핵",227,http://api.forest.go.kr/openapi/image/2015227/20152271.jpg,저근백피(樗根白皮),가죽나무,http://api.forest.go.kr/openapi/image/2015227/20152272.jpg,http://api.forest.go.kr/openapi/image/2015227/20152273.jpg,피자식물/쌍자엽식물,"식재하는 낙엽교목으로 높이 20m이고 수피는 회갈색으로 갈라지지 않는다. 잎은 호생하고 홀수1회우상복엽이며 소엽은 점 첨두 예저 또는 원저이며 가장자리에 털이 있고 하반부에 선점이 있다. 꽃은 백색이며 가지 끝에 원추화서로 달린다. 열매는 시과로 연한 적갈색이며 1개의 종자가 들어 있다.
 ☞ 소태나무에 비해 소엽에 큰 톱니가 있고 화서는 정생 한다.",소태나무과(Simaroubaceae),Ailanthus altissima (Mill.) Swingle,뿌리와 수간 내피를 채취하여 조피를 제거하고 햇볕에 말린다
8,"한국(전국), 인도","(내복): 환제나 산제로 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 가루를 내어 상처부위에 개어 붙인다.","각기, 경중양통, 고혈압, 구내염, 동상, 딸국질, 부인하혈, 생선중독, 소종, 수은중독, 아감, 열질, 요통, 위경련, 위궤양, 위암, 유두파열, 음양음창, 인두염, 종창, 주체, 진통, 청열, 충치, 치통, 치핵, 타박, 통리수도, 파상풍, 표저, 풍치, 피임, 하혈, 해열, 활혈, 후두염 등",383,http://api.forest.go.kr/openapi/image/2015383/20153831.jpg,가자(茄子),가지,http://api.forest.go.kr/openapi/image/2015383/20153832.jpg,http://api.forest.go.kr/openapi/image/2015383/20153833.jpg,피자식물/쌍자엽식물,재배하는 일년초로서 높이가 60∼100㎝이고 회색 털이 있다. 잎은 호생하며 잎자루가 길며 난상 타원형이고 끝이 뾰족하다. 꽃은 자주색으로 6∼9월에 마디 사이에서 꽃자루가 나와 소수의 꽃이 달린다. 열매는 장과로 긴 원통형이며 흑자색이다.,가지과(Solanaceae),Solanum melongena L.,과실 성숙기에 채취하여 햇볕에 말리거나 선용(鮮用)한다.
9,"한국(전국), 중국, 일본, 대만, 유럽, 아프리카, 아메리카","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다.","건위, 곽란, 구토, 번위, 비체, 설사, 식균용체, 식저육체, 식중독, 심번, 암내, 요독증, 위경련, 위한증, 이급, 자양, 자양강장, 장위카타르, 주독, 중독증, 지구역, 지구제번, 진토, 청열생진, 탈항, 토혈, 폐결핵, 폐옹, 폐위, 폐혈, 해독, 해산촉진, 해열, 협심증, 홍역, 황달",477,http://api.forest.go.kr/openapi/image/2015477/20154771.jpg,노근(蘆根),갈대,http://api.forest.go.kr/openapi/image/2015477/20154772.jpg,http://api.forest.go.kr/openapi/image/2015477/20154773.jpg,피자식물 / 단자엽식물,"습지 또는 냇가에 자라는 다년초로서 높이 1∼3m이고 마디에서 수염뿌리가 내리며 원줄기는 속이 비어있다. 잎은 2줄로 호생하며 긴 피침형이며 끝이 뾰족해지고 잎집이 원줄기를 둘러싼다. 꽃은 9월에 원추 꽃차례로 달린다. 호영은 안쪽으로 말려서 끝이 가락처럼 된다.
 ☞ 달뿌리풀보다 마디에 퍼진 털이 없고 엽초가 갈색을 띠지 않는다.",벼과(Gramineae),Phragmites communis Trin.,뿌리줄기를 봄부터 가을까지 채취하여 햇볕에 말린다.
